ID,Carriera Triennale,Scuola Triennale,CDS Triennale,Maturità,Carriera Magistrale,Scuola Magistrale,CDS Magistrale
99672198,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,ARTISTICA (QUINQUENNALE),TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA
99593746,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA E PRODUZIONE EDILIZIA,SCIENTIFICA,#N/D,,
99593752,RINUNCIA AGLI STUDI,Des,DESIGN DELLA COMUNICAZIONE,SCIENTIFICA,#N/D,,
99598539,RICHIESTA SOSPENSIONE AGLI STUDI,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,SCIENTIFICA,#N/D,,
99695317,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA AEROSPAZIALE,CLASSICA,#N/D,,
99595217,TITOLO CONSEGUITO,Des,DESIGN DELLA COMUNICAZIONE,SCIENTIFICA,#N/D,,
99708487,DECADUTO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,ARTISTICA - SEZIONE I + ANNO INTEGRATIVO,#N/D,,
99624067,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA DELLE COSTRUZIONI,TECNICA PER GEOMETRI,#N/D,,
99657563,RINUNCIA AGLI STUDI,Ing Ind - Inf,INGEGNERIA INFORMATICA,SCIENTIFICA,#N/D,,
99679831,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA ENERGETICA,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA ENERGETICA
99672790,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,SCIENTIFICA,#N/D,,
99656655,TITOLO CONSEGUITO,Arc - Urb - Cost,INGEGNERIA DELL' EDILIZIA,SCIENTIFICA,TITOLO CONSEGUITO,Arc - Urb - Cost,INGEGNERIA DEI SISTEMI EDILIZI
99607172,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA AEROSPAZIALE,SCIENTIFICA,#N/D,,
99722133,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,ARTISTICA (QUINQUENNALE),#N/D,,
99708267,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,SCIENTIFICA,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA
